date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:35:20	4336/4336	---MCZ	200	added ('OK')	text/html	date:Wed,%2025%20Apr%202018%2008:01:47%20GMT	https://debian-handbook.info/browse/stable/sect.knoppix.html	debser/debian-handbook.info/browse/stable/sect.knoppix.html	(from https://debian-handbook.info/browse/stable/index.html)
19:35:21	3394/3394	---MCZ	200	added ('OK')	text/html	date:Wed,%2025%20Apr%202018%2008:01:47%20GMT	https://debian-handbook.info/browse/stable/sect.aptosid.html	debser/debian-handbook.info/browse/stable/sect.aptosid.html	(from https://debian-handbook.info/browse/stable/index.html)
19:35:22	3025/3025	---MCZ	200	added ('OK')	text/html	date:Wed,%2025%20Apr%202018%2008:01:47%20GMT	https://debian-handbook.info/browse/stable/sect.grml.html	debser/debian-handbook.info/browse/stable/sect.grml.html	(from https://debian-handbook.info/browse/stable/index.html)
19:35:23	2910/2910	---MCZ	200	added ('OK')	text/html	date:Wed,%2025%20Apr%202018%2008:01:47%20GMT	https://debian-handbook.info/browse/stable/sect.tails.html	debser/debian-handbook.info/browse/stable/sect.tails.html	(from https://debian-handbook.info/browse/stable/index.html)
19:35:24	3014/3014	---MCZ	200	added ('OK')	text/html	date:Wed,%2025%20Apr%202018%2008:01:47%20GMT	https://debian-handbook.info/browse/stable/sect.kali.html	debser/debian-handbook.info/browse/stable/sect.kali.html	(from https://debian-handbook.info/browse/stable/index.html)
19:35:25	3259/3259	---MCZ	200	added ('OK')	text/html	date:Wed,%2025%20Apr%202018%2008:01:47%20GMT	https://debian-handbook.info/browse/stable/sect.devuan.html	debser/debian-handbook.info/browse/stable/sect.devuan.html	(from https://debian-handbook.info/browse/stable/index.html)
19:35:26	3019/3019	---MCZ	200	added ('OK')	text/html	date:Wed,%2025%20Apr%202018%2008:01:47%20GMT	https://debian-handbook.info/browse/stable/sect.tanglu.html	debser/debian-handbook.info/browse/stable/sect.tanglu.html	(from https://debian-handbook.info/browse/stable/index.html)
19:35:27	3213/3213	---MCZ	200	added ('OK')	text/html	date:Wed,%2025%20Apr%202018%2008:01:47%20GMT	https://debian-handbook.info/browse/stable/sect.doudoulinux.html	debser/debian-handbook.info/browse/stable/sect.doudoulinux.html	(from https://debian-handbook.info/browse/stable/index.html)
19:35:28	3290/3290	---MCZ	200	added ('OK')	text/html	date:Wed,%2025%20Apr%202018%2008:01:47%20GMT	https://debian-handbook.info/browse/stable/sect.raspbian.html	debser/debian-handbook.info/browse/stable/sect.raspbian.html	(from https://debian-handbook.info/browse/stable/index.html)
19:35:29	3302/3302	---MCZ	200	added ('OK')	text/html	date:Wed,%2025%20Apr%202018%2008:01:47%20GMT	https://debian-handbook.info/browse/stable/sect.other-derivatives.html	debser/debian-handbook.info/browse/stable/sect.other-derivatives.html	(from https://debian-handbook.info/browse/stable/index.html)
